FILE                              	RA               	DEC               	OBJECT                     	OBSTECH                     	
OB_1182345_2015-08-30T08-47.fits  	45.08215074573   	-37.4544916208    	HD  18809                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182347_2015-04-12T05-26.fits  	214.24130099083  	-49.9451035918    	V* V636 Cen                	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182349_2015-05-29T06-35.fits  	300.70894507736  	-75.34934286483001	HD 188480                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182355_2015-05-29T06-05.fits  	320.24918279073  	-52.47783551693   	V* BS Ind                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182357_2015-04-23T06-20.fits  	240.1305188238656	-36.08795019350576	HD 143215                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182359_2015-04-12T03-03.fits  	175.15245102861  	-8.4056585274     	HD 101472                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182361_2015-05-18T07-05.fits  	271.00782821888  	1.83238976749     	HD 165045                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182363_2015-04-23T09-17.fits  	287.2103916485399	-42.42810055594   	HD 177996                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182365_2015-05-18T09-15.fits  	308.30530179966  	-58.11234759102   	HD 195289                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182367_2015-06-12T09-19.fits  	331.5220948644699	-5.35816401253    	V* NT Aqr                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182369_2015-04-04T05-39.fits  	206.56039333866  	-54.68336719636   	HD 119727                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182371_2015-04-12T07-01.fits  	234.73981954873  	-57.70759613463   	HD 139084                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182373_2015-04-09T06-35.fits  	226.99061692003  	-45.57940322194   	V* HS Lup                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182373_2015-04-12T06-11.fits  	226.99061692003  	-45.57940322194   	V* HS Lup                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182375_2015-05-29T07-28.fits  	321.61108793749  	19.37564171954    	V* IK Peg                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182377_2015-04-12T04-39.fits  	195.9568945295833	-5.161810310833333	V* PX Vir                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182381_2015-04-09T09-20.fits  	259.35627222593  	-66.95103670601   	HD 155555                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182383_2015-08-15T08-35.fits  	24.48148621379   	-82.9749962927    	HD  10800                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182383_2015-08-22T08-19.fits  	24.48148621379   	-82.9749962927    	HD  10800                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182383_2015-08-26T07-58.fits  	24.48148621379   	-82.9749962927    	HD  10800                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182385_2015-04-26T01-07.fits  	152.52452631849  	-12.81592318896   	HD  88215                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182387_2015-06-21T09-46.fits  	345.87423107535  	-34.74941542453   	* pi. PsA                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182389_2015-08-30T09-30.fits  	48.95844035892001	-8.81973238362    	* zet Eri                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182393_2015-07-19T04-57.fits  	306.4119043651986	-56.73508972631689	* alf Pav                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182393_2015-07-19T04-58.fits  	306.4119043651986	-56.73508972631689	* alf Pav                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182393_2015-07-19T05-21.fits  	306.4119043651986	-56.73508972631689	* alf Pav                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182401_2015-04-09T08-23.fits  	247.11725943877  	-70.08439580831001	* zet TrA                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182410_2015-09-09T09-04.fits  	47.8013378592593 	22.4229364525765  	BD+21   418B               	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182414_2015-04-14T08-19.fits  	253.68687148974  	-36.88849071846   	V* AK Sco                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182416_2015-04-29T06-21.fits  	240.4925646898   	-20.13665406751   	BD-19  4288                	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182418_2015-04-14T07-33.fits  	242.78710731692  	-19.07971575557   	Wa Oph 1                   	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182429_2015-04-12T03-50.fits  	185.14324054764  	-75.65795278877   	CD-74   673                	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182436_2015-06-18T03-19.fits  	241.19897153594  	-19.50636563087   	ScoPMS  27                 	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182438_2015-06-09T03-48.fits  	242.06143391328  	-19.14241355234   	ASAS J160814-1908.7        	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182440_2015-04-12T07-50.fits  	242.9969593052899	-19.11481014363   	Wa Oph 2                   	IMAGE,DUAL,CORONOGRAPHY     	
OB_1182445_2015-04-12T00-25.fits  	132.98502130632  	-53.9324229444    	CD-53  2515                	IMAGE,DUAL,CORONOGRAPHY     	
OB_1184671_2015-08-06T08-50.fits  	359.60302        	-21.66736         	Kalliope                   	IMAGE,CLASSICAL             	
OB_1184671_2015-08-06T08-59.fits  	359.602291       	-21.66856         	Kalliope                   	IMAGE,CLASSICAL             	
OB_1184671_2015-08-22T07-27.fits  	357.900281       	-23.47123         	Kalliope                   	IMAGE,CLASSICAL             	
OB_1184671_2015-08-25T04-51.fits  	357.441442       	-23.78986         	Kalliope                   	IMAGE,CLASSICAL             	
OB_1184674_2015-08-28T06-22.fits  	356.913819       	-24.11518         	Kalliope                   	IMAGE,CLASSICAL             	
OB_1184678_2015-08-22T07-47.fits  	359.836081       	-3.82338          	Eugenia                    	IMAGE,CLASSICAL             	
OB_1184678_2015-08-25T05-11.fits  	359.452542       	-4.13087          	Eugenia                    	IMAGE,CLASSICAL             	
OB_1184681_2015-08-28T06-01.fits  	359.008846       	-4.46783          	Eugenia                    	IMAGE,CLASSICAL             	
OB_1184684_2015-09-04T04-56.fits  	357.861731       	-5.28185          	Eugenia                    	IMAGE,CLASSICAL             	
OB_1187922_2015-04-18T03-14.fits  	186.44278069418  	-64.02208782971   	HD 108147                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187922_2015-07-17T23-52.fits  	186.44278069418  	-64.02208782971   	HD 108147                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187922_2015-07-18T00-04.fits  	186.44278069418  	-64.02208782971   	HD 108147                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187928_2015-04-28T09-25.fits  	227.68642922757  	-61.42232241166   	HD 134060                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187928_2015-04-28T09-33.fits  	227.68642922757  	-61.42232241166   	HD 134060                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187931_2015-06-19T02-43.fits  	242.562620627857 	-84.23161412303777	HD 142022                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187931_2015-06-24T04-01.fits  	242.562620627857 	-84.23161412303777	HD 142022                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187934_2015-04-17T06-55.fits  	239.41996638815  	-60.20025612738   	HD 142415                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187934_2015-05-18T07-46.fits  	239.41996638815  	-60.20025612738   	HD 142415                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187934_2015-05-18T07-54.fits  	239.41996638815  	-60.20025612738   	HD 142415                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187934_2015-06-24T04-58.fits  	239.41996638815  	-60.20025612738   	HD 142415                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187937_2015-04-17T07-24.fits  	247.07201955602  	-46.3176285014    	HD 148156                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187937_2015-04-22T08-57.fits  	247.07201955602  	-46.3176285014    	HD 148156                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187937_2015-04-22T09-07.fits  	247.07201955602  	-46.3176285014    	HD 148156                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187940_2015-04-22T09-35.fits  	257.5204615947499	-56.44926964071999	HD 154672                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187943_2015-04-12T09-48.fits  	275.01638869254  	-9.595726292749999	HD 168443                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187943_2015-06-02T05-23.fits  	275.01638869254  	-9.595726292749999	HD 168443                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187946_2015-06-11T09-39.fits  	310.433756791    	-75.35080083571999	* mu.02 Oct                	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187946_2015-06-18T09-19.fits  	310.433756791    	-75.35080083571999	* mu.02 Oct                	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187946_2015-06-18T09-50.fits  	310.43375        	-75.35080555555554	IRAS 20358-7531            	IMAGE,DUAL,CORONOGRAPHY     	
OB_1187949_2015-06-02T09-30.fits  	335.23224352135  	-41.43010684787   	HD 211847                  	IMAGE,DUAL,CORONOGRAPHY     	
